sample,factor,value,group
F230,Factor2,1.33830327241253,single_group
F231,Factor2,0.00248827377190863,single_group
F232,Factor2,0.6391914046412,single_group
F233,Factor2,1.07383851457475,single_group
F234,Factor2,2.63211167853399,single_group
F235,Factor2,2.29120454364687,single_group
F236,Factor2,0.0413366815879963,single_group
F237,Factor2,0.011194313498308,single_group
F239,Factor2,1.51406948929897,single_group
F240,Factor2,0.891471289177773,single_group
F242,Factor2,-0.360754678761442,single_group
F243,Factor2,-0.220359996655656,single_group
F244,Factor2,0.00130989051719515,single_group
F245,Factor2,-1.92157173825011,single_group
F247,Factor2,0.147388466982743,single_group
F248,Factor2,-3.47351238665112,single_group
F249,Factor2,1.25029751006538,single_group
F250,Factor2,-3.37652565815718,single_group
F251,Factor2,1.71815778757038,single_group
F252,Factor2,-1.5951682961762,single_group
F253,Factor2,1.34417980024539,single_group
F255,Factor2,-0.103572315540273,single_group
F256,Factor2,0.243595556841584,single_group
F257,Factor2,-1.54425112548674,single_group
F258,Factor2,1.05512644961902,single_group
F260,Factor2,-0.37130723512154,single_group
F261,Factor2,-2.18651832451413,single_group
F262,Factor2,0.680217440303932,single_group
F263,Factor2,0.514718958974859,single_group
F264,Factor2,-2.89482908873372,single_group
F265,Factor2,-0.23988004738864,single_group
F266,Factor2,0.367536420099908,single_group
F267,Factor2,-2.30532332440074,single_group
F268,Factor2,-0.0684205541910812,single_group
F269,Factor2,1.38506379176345,single_group
F271,Factor2,0.146553694374269,single_group
F273,Factor2,1.13366698227965,single_group
F274,Factor2,-0.000514890224301842,single_group
F275,Factor2,-0.553761238414599,single_group
F276,Factor2,0.00387016499316054,single_group
F277,Factor2,1.81805746883111,single_group
F278,Factor2,-3.49294479650287,single_group
F279,Factor2,-2.02784534454694,single_group
F280,Factor2,-0.359337384955364,single_group
F281,Factor2,-1.45525317635997,single_group
F282,Factor2,0.00871011852729046,single_group
F283,Factor2,-0.241348288586212,single_group
F285,Factor2,-0.158098935197392,single_group
F286,Factor2,0.821028924883235,single_group
F287,Factor2,0.0637988226470428,single_group
F288,Factor2,0.634759158423207,single_group
F289,Factor2,0.974573618844401,single_group
F290,Factor2,1.05373312329882,single_group
F291,Factor2,-1.15280627312582,single_group
F292,Factor2,1.02371336394,single_group
F293,Factor2,0.783327866098724,single_group
F294,Factor2,-3.55725488292989,single_group
F295,Factor2,-0.662858284532555,single_group
F297,Factor2,0.268315732001831,single_group
F298,Factor2,-0.23584543835467,single_group
F299,Factor2,0.519978988918047,single_group
F300,Factor2,1.73456308860639,single_group
F301,Factor2,-3.14553389053327,single_group
F302,Factor2,-0.381218291428471,single_group
F303,Factor2,0.130800949749697,single_group
F304,Factor2,0.785118751194676,single_group
F305,Factor2,-1.78673938795134,single_group
F306,Factor2,0.0121173688179794,single_group
F307,Factor2,1.26604387171681,single_group
F309,Factor2,-0.720296443882829,single_group
F311,Factor2,-1.16163347468191,single_group
F312,Factor2,-1.10228352395762,single_group
F314,Factor2,0.107632866923138,single_group
F315,Factor2,-3.41184904204048,single_group
F316,Factor2,-2.90907160205219,single_group
F317,Factor2,-0.933530925992934,single_group
F318,Factor2,-1.03822768583709,single_group
F320,Factor2,-1.55129633518578,single_group
F321,Factor2,-0.733130731620832,single_group
F323,Factor2,0.342555138683226,single_group
F324,Factor2,2.53345480731992,single_group
F325,Factor2,1.94561037993615,single_group
F326,Factor2,1.5972186690239,single_group
F327,Factor2,0.0325739037198873,single_group
F328,Factor2,-2.09572667917587,single_group
F329,Factor2,1.6584860477425,single_group
F331,Factor2,-2.2160176045654,single_group
F332,Factor2,-0.130878182240601,single_group
F333,Factor2,0.4391133072768,single_group
F334,Factor2,0.874708266751752,single_group
F335,Factor2,1.58336010738183,single_group
F336,Factor2,1.31050147522366,single_group
F338,Factor2,1.95498969958067,single_group
F341,Factor2,0.322556954825276,single_group
F342,Factor2,2.40559870151244,single_group
F343,Factor2,0.200002591714093,single_group
F344,Factor2,-1.74938807866338,single_group
F345,Factor2,2.05678995212597,single_group
F346,Factor2,1.10316953616048,single_group
F349,Factor2,-2.14473459407185,single_group
F350,Factor2,-1.04408888759658,single_group
F351,Factor2,2.76433565355501,single_group
F352,Factor2,2.27833718921919,single_group
F353,Factor2,0.94724267890946,single_group
F354,Factor2,-0.480193640684192,single_group
F355,Factor2,0.991638918746583,single_group
F356,Factor2,-0.0963467603856872,single_group
F358,Factor2,1.2693359548489,single_group
F359,Factor2,0.531890899918469,single_group
F360,Factor2,0.959277195931568,single_group
F361,Factor2,-0.062639169873983,single_group
F362,Factor2,1.76348606076893,single_group
F363,Factor2,-0.07661299257846,single_group
F365,Factor2,-2.32227449035854,single_group
F366,Factor2,0.980392258777202,single_group
F371,Factor2,1.55769718625332,single_group
F372,Factor2,-1.16448613171245,single_group
F373,Factor2,-0.714431589307998,single_group
