SIRIUS_ID	MS2	type	Project	FT_ID	name	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass
948	MS2	all	HoloFish	949	948_MS2_all_HoloFish_949	C23H36N2O2	[M + K]+	Lipids and lipid-like molecules				Lipids and lipid-like molecules
949	MS2	all	HoloFish	950	949_MS2_all_HoloFish_950	C30H35N5O	[M + H]+	Steroids and steroid derivatives			Steroids and steroid derivatives	Lipids and lipid-like molecules
950	MS2	all	HoloFish	951	950_MS2_all_HoloFish_951	C30H35N5O2	[M + H]+	3-beta-hydroxy delta-5-steroids	3-hydroxysteroids	Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
951	MS2	all	HoloFish	952	951_MS2_all_HoloFish_952	C15H23BN2O	[M + H]+	Alpha amino acid amides	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
952	MS2	all	HoloFish	953	952_MS2_all_HoloFish_953	C20H26N4O5	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
953	MS2	all	HoloFish	954	953_MS2_all_HoloFish_954	C29H37NO4	[M + H]+	"Bile acids, alcohols and derivatives"		"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
954	MS2	all	HoloFish	955	954_MS2_all_HoloFish_955	C13H22F2N6O2	[M + H]+	Alpha amino acid amides	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
955	MS2	all	HoloFish	956	955_MS2_all_HoloFish_956	C16H32O4	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
956	MS2	all	HoloFish	957	956_MS2_all_HoloFish_957	C22H32O4	[M + H]+	Eicosanoids		Eicosanoids	Fatty Acyls	Lipids and lipid-like molecules
957	MS2	all	HoloFish	958	957_MS2_all_HoloFish_958	C20H28O5	[M + H]+	Diterpenoids		Diterpenoids	Prenol lipids	Lipids and lipid-like molecules
958	MS2	all	HoloFish	959	958_MS2_all_HoloFish_959	C8H12O6	[M + H]+	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
959	MS2	all	HoloFish	960	959_MS2_all_HoloFish_960	C17H35N3O4S	[M + H]+	Dipeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
960	MS2	all	HoloFish	961	960_MS2_all_HoloFish_961	C27H43NO7	[M + H]+	Prostaglandins and related compounds	Prostaglandins and related compounds	Eicosanoids	Fatty Acyls	Lipids and lipid-like molecules
961	MS2	all	HoloFish	962	961_MS2_all_HoloFish_962	C16H25N9O4	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
962	MS2	all	HoloFish	963	962_MS2_all_HoloFish_963	C31H35N5O3	[M + H]+	N-acyl-alpha amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
963	MS2	all	HoloFish	964	963_MS2_all_HoloFish_964	C5H8Cl2N2	[M + H]+	Alkyl chlorides		Alkyl chlorides	Alkyl halides	Organohalogen compounds
964	MS2	all	HoloFish	965	964_MS2_all_HoloFish_965	C17H26O4	[M + H]+	Secondary alcohols	Secondary alcohols	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds
965	MS2	all	HoloFish	966	965_MS2_all_HoloFish_966	C43H58N6O9	[M + H]+	Oligopeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
966	MS2	all	HoloFish	967	966_MS2_all_HoloFish_967	C14H22N2O4	[M + H]+	Dipeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
967	MS2	all	HoloFish	968	967_MS2_all_HoloFish_968	C34H43N5O8	[M + H]+	Peptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
968	MS2	all	HoloFish	969	968_MS2_all_HoloFish_969	C15H25NO2S	[M + H]+	Amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
969	MS2	all	HoloFish	970	969_MS2_all_HoloFish_970	C16H33NO3	[M + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
