feature	value	factor	R1.superclass	R2.class	R3.subclass	R4.level5	R5.specific	top.anno	anno.figure	robust
FT_432	-0.358152402507844	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_433	0.225226612072228	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides	Organic.acids		Yes
FT_434	-0.212008696943904	Factor1	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds	Oxygens		No
FT_435	-0.740508324869564	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	Yes
FT_435	-0.287138150951555	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	No
FT_436	-0.343935168143988	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Trihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_441	0.233279850740743	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_444	0.590732111560035	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives	Organic.acids	amino.acids	Yes
FT_445	-0.283265873899203	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	3-hydroxysteroids	3-beta-hydroxy delta-5-steroids	Lipids	hydroxysteroids	Yes
FT_446	0.422004677519517	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	Prostaglandins and related compounds	Prostaglandins and related compounds	Lipids		Yes
FT_447	-0.298738822145301	Factor1	Organoheterocyclic compounds	Indoles and derivatives	Indoles	3-alkylindoles	3-alkylindoles	Organoheterocyclics		No
FT_45	-0.824982740764971	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	Yes
FT_452	0.83787875814834	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_453	0.802314449769247	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_454	0.734471943465679	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides	Organic.acids		No
FT_455	0.778503028824596	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_456	0.826011195170493	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_457	0.217144290883285	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		No
FT_458	0.786605244235472	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides	Organic.acids		Yes
FT_46	-0.270431548681548	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	3-hydroxysteroids	3-beta-hydroxy delta-5-steroids	Lipids	hydroxysteroids	Yes
FT_462	0.618811237290041	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_475	-0.603151805173224	Factor3	NA	NA	NA	NA	NA	unknown		Yes
FT_476	0.348994126486551	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_477	0.339017403514679	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids	Lipids		Yes
FT_479	0.577987147714486	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_482	0.369855165842191	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_484	0.594239960970061	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_489	-0.474255172372644	Factor1	NA	NA	NA	NA	NA	unknown		Yes
