Fatty.acid,metadata,value,coef,stderr,N,N.not.0,pval,qval
18:0),Size.class,.L,0.0589926285097705,0.00628903909527731,412,412,5.10846504837491e-19,1.12386231064248e-17
20:5(n-3_EPA),Size.class,.L,0.0616721508561802,0.00791322089139058,412,411,5.49549109602883e-14,6.90861737786481e-13
22:5(n-6),Size.class,.L,0.0637420961018302,0.0369154004089768,412,393,0.0849822980173746,0.173917261058813
20:4(n-6_ARA),Size.class,.L,0.0662364201563136,0.0109068375130576,412,412,2.90102781448571e-09,3.00341703146756e-08
sum_saturated_per,Size.class,.L,0.0716423013080352,0.00419825553770821,412,412,2.89344476190927e-49,1.69748759365344e-47
16:0),Size.class,.L,0.0751474563416522,0.00424204558668847,412,412,2.04964037653339e-52,1.80368353134939e-50
20:0),Size.class,.L,0.0981928065067168,0.0259962527377257,412,412,0.00018233636351395,0.00116726255634485
18:3(n-3),Size.class,.L,0.120779503137661,0.00958531097718495,412,412,7.16763687919588e-31,1.80214870105497e-29
24:5(n-3),Size.class,.L,0.300171597980113,0.0578773877570171,412,366,3.40169613656717e-07,2.99349260017911e-06
22:0),Size.class,.L,0.378085954969045,0.0565395519266033,412,320,7.5414757857051e-11,8.84866492189398e-10
17:0),Cestode.present,TRUE,-0.100551686957261,0.0607657394702913,412,387,0.0987498813172894,0.197499762634579
22:6(n-3_DHA),Cestode.present,TRUE,-0.0473952627712705,0.0112184404093283,412,412,2.95804097041431e-05,0.000216923004497049
18:4(n-3),Cestode.present,TRUE,-0.0455932965690481,0.0250374690588249,412,410,0.0693451000146388,0.148838263446054
sum_EPA_DHA_per,Cestode.present,TRUE,-0.031114280568141,0.00884108294017595,412,412,0.000481896080458641,0.00242324886173488
18:2(n-6),Cestode.present,TRUE,-0.0136149513212276,0.00368925267642445,412,412,0.000254465740208549,0.00148423622905503
16:0),Cestode.present,TRUE,-0.010947815640057,0.00624280276401068,412,412,0.0802434992122808,0.166151245427781
20:1(n-9),Cestode.present,TRUE,0.0164816681300593,0.0083313628175425,412,412,0.0485762093535449,0.108220415774986
sum_20.1_per,Cestode.present,TRUE,0.0222466560164359,0.0111274046484051,412,412,0.0462482785413043,0.107101276621968
22:5(n-3_DPA),Cestode.present,TRUE,0.0374019907737601,0.0113785103672772,412,412,0.00110048970004382,0.00450432993506307
20:4(n-6_ARA),Cestode.present,TRUE,0.0681898671888366,0.0160718052889406,412,412,2.73761707937552e-05,0.000209487219986996
20:4(n-3),Cestode.present,TRUE,0.0831720852272897,0.013094249021095,412,412,5.72680284155592e-10,6.29948312571151e-09
20:2(n-6),Cestode.present,TRUE,0.107201927569711,0.0178898948644188,412,412,4.57630311833146e-09,4.47460749347965e-08
22:0),Cestode.present,TRUE,0.186914397218262,0.0828931479427678,412,320,0.0246747592088221,0.0611677517881239
