Sample, initial, primer-trimmed, filtered1, filtered2, dereplicated, representedASVs
E_241b, 13932, 13154, 2395, 1203, 785, 2233
E_242a, 35776, 35611, 8156, 4521, 2401, 7742
E_242b, 31390, 27263, 4730, 2662, 1665, 4370
E_243a, 118, 105, 24, 9, 19, 10
E_243b, 179175, 137691, 23703, 11115, 6010, 22691
E_249a, 79724, 79410, 31475, 15009, 5618, 31036
E_249b, 72082, 43849, 10602, 5475, 2815, 10100
E_263a, 88660, 88106, 29280, 13080, 6180, 28529
E_263b, 34383, 18737, 1989, 1040, 878, 1744
E_266a, 18628, 18088, 4641, 2765, 1312, 4465
E_266b, 83477, 66137, 17629, 8715, 3805, 17198
E_271a, 48442, 48154, 17097, 8322, 3929, 16585
E_271b, 12484, 11365, 4053, 1895, 1149, 3956
E_281a, 32743, 32518, 11057, 5019, 2529, 10810
E_281b, 34374, 15395, 2609, 1252, 984, 2327
E_292a, 25882, 25707, 9011, 4039, 2140, 8830
E_292b, 13998, 11960, 1184, 563, 452, 1079
E_299a, 31861, 31628, 7245, 4509, 2051, 6847
E_299b, 55645, 51981, 13999, 8194, 4366, 11281
E_300a, 97715, 97134, 37984, 17771, 6721, 37558
E_300b, 72479, 25194, 2865, 1415, 974, 2646
E_316a, 102268, 101907, 34489, 16397, 6852, 33583
E_316b, 10478, 6921, 1698, 838, 628, 1585
E_318a, 13446, 13353, 5188, 2316, 1256, 5092
E_318b, 136673, 132069, 27313, 15656, 7206, 25496
E_322a, 50736, 50384, 18430, 9172, 4619, 17953
E_322b, 116638, 83750, 12774, 6739, 3669, 12114
E_323a, 24101, 17351, 2239, 1030, 785, 2056
E_323b, 19871, 19353, 4046, 1711, 1282, 3852
E_326a, 134013, 133393, 42139, 24213, 7891, 40814
E_326b, 50180, 47023, 11334, 6706, 2732, 10840
E_329a, 56447, 55859, 12905, 7265, 3721, 11992
E_329b, 491, 415, 15, 7, 11, 7
E_340a, 23761, 23636, 9070, 4188, 2545, 8666
E_340b, 54318, 50713, 12311, 5777, 3627, 11502
E_349a, 84496, 83819, 33857, 16987, 5287, 33225
E_349b, 296451, 256533, 90637, 44903, 12798, 88969
E_355a, 62760, 62375, 18524, 10566, 4259, 17894
E_355b, 28895, 19329, 3940, 2280, 1224, 3693
E_365a, 66238, 65576, 19272, 9716, 5073, 18512
E_365b, 207081, 170124, 35614, 19587, 9644, 33477
E_377a, 80082, 79734, 25756, 14214, 5373, 24895
E_377b, 97809, 88445, 14716, 7859, 3695, 13952
E_383a, 34697, 28228, 590, 306, 384, 360
E_383b, 11438, 11172, 2649, 1346, 920, 2468
E_389a, 74107, 73726, 32394, 14935, 6014, 31811
E_389b, 156869, 131869, 33874, 16253, 6840, 33063
E_399a, 60968, 60604, 25459, 11746, 4917, 24398
E_399b, 5021, 4792, 602, 294, 204, 555
E_410a, 4010, 3709, 52, 27, 37, 19
E_410b, 2576, 2537, 480, 242, 247, 412
E_416a, 159654, 158850, 70202, 34067, 9925, 69401
E_416b, 24137, 21432, 2623, 1208, 694, 2565
Ext_blank1a, 91, 18, 2, 1, 2, 2
Ext_blank1b, 81, 35, 9, 5, 6, 2
Ext_blank2a, 18, 18, 4, 3, 4, 1
Ext_blank2b, 235, 230, 50, 37, 28, 27
